"Story","Title","Result","Date","Stability","Duration (s)"
"Trainer reoccurrences","February","SUCCESS","2017-05-13T19:37:26.002Z","0.0","0.1"
"Trainer reoccurrences","Holidays","SUCCESS","2017-05-13T19:37:26.215Z","0.0","0.78"
"Trainer reoccurrences","normal month","SUCCESS","2017-05-13T19:37:25.487Z","0.0","0.32"
"Trainer reoccurrences","the duration of a course influences the amount of courses one trainer can give in one month","SUCCESS","2017-05-13T19:37:26.106Z","0.0","0.11"
