"Story","Title","Result","Date","Stability","Duration (s)"
"Trainer couples","many trainers are available","SUCCESS","2017-05-13T19:37:27.054Z","0.0","0.14"
"Trainer couples","only qualified trainers from the same project are available","SUCCESS","2017-05-13T19:37:27.195Z","0.0","0.08"
